"rayyan_key","location","biome","taxonomic_group","conservation_problem","stakeholder_population","type_of_scientific_evidence","study_design","data_collected","factors_influencing_evidence_use","evidence_discipline","scale_of_study","scale_of_decision_making","type_of_organisation_studied","description_of_decision_type","location_std","continent_raw"
"rayyan-153485299","Norway","Marine","Not mentioned","Overexploitation, Identification of vulnerable ecosystems","Practitioners","Scientific reports","Interviews","Stakeholder perceptions","Rigour, Source of evidence, Scientist-actor relationships","Not mentioned","Multi-country","International","Intergovernmental organisation","","Norway","Europe"
"rayyan-153485299","Sweden","Marine","Not mentioned","Overexploitation, Identification of vulnerable ecosystems","Practitioners","Scientific reports","Interviews","Stakeholder perceptions","Rigour, Source of evidence, Scientist-actor relationships","Not mentioned","Multi-country","International","Intergovernmental organisation","","Sweden","Europe"
"rayyan-153485299","Russia","Marine","Not mentioned","Overexploitation, Identification of vulnerable ecosystems","Practitioners","Scientific reports","Interviews","Stakeholder perceptions","Rigour, Source of evidence, Scientist-actor relationships","Not mentioned","Multi-country","International","Intergovernmental organisation","","Russia","Europe"
"rayyan-153485299","UK","Marine","Not mentioned","Overexploitation, Identification of vulnerable ecosystems","Practitioners","Scientific reports","Interviews","Stakeholder perceptions","Rigour, Source of evidence, Scientist-actor relationships","Not mentioned","Multi-country","International","Intergovernmental organisation","","United Kingdom","Europe"
"rayyan-153485304","Canada","Freshwater","Fish","Overexploitation","Researchers, Practitioners","No description provided","Interviews","Stakeholder perceptions","Scientist-actor relationships, Relationships between colleagues, Social, political, and economic context, Other stakeholder values and beliefs, Practitioner/policymaker-stakeholder relationships","Not mentioned","Multi-unit","Regional","Government/statutory body, NGO/non-profit, Private sector, Academic institution","Management of Rainbow trout fishery","Canada","Americas"
"rayyan-153485317","Finland","Not mentioned","Mammals","Overexploitation","Researchers, Practitioners","Citizen science","Interviews","Stakeholder perceptions","Social, political, and economic context, Other stakeholder values and beliefs","Natural sciences","Multi-unit","Regional","Not detailed","Wolf management","Finland","Europe"
"rayyan-153485355","Australia","Not mentioned","Birds","Predation of birds","Researchers, Practitioners","Peer-reviewed studies","Surveys","Stakeholder perceptions","Practitioner/policymaker research skills, Practitioner/policymaker personal characteristics","Natural sciences","Multi-country","Not reported","Government/statutory body, NGO/non-profit, Private sector, Academic institution","Management of bird predators","Australia","Oceania"
"rayyan-153485355","New Zealand","Not mentioned","Birds","Predation of birds","Researchers, Practitioners","Peer-reviewed studies","Surveys","Stakeholder perceptions","Practitioner/policymaker research skills, Practitioner/policymaker personal characteristics","Natural sciences","Multi-country","Not reported","Government/statutory body, NGO/non-profit, Private sector, Academic institution","Management of bird predators","New Zealand","Oceania"
"rayyan-153485355","UK","Not mentioned","Birds","Predation of birds","Researchers, Practitioners","Peer-reviewed studies","Surveys","Stakeholder perceptions","Practitioner/policymaker research skills, Practitioner/policymaker personal characteristics","Natural sciences","Multi-country","Not reported","Government/statutory body, NGO/non-profit, Private sector, Academic institution","Management of bird predators","United Kingdom","Europe"
"rayyan-153485355","USA","Not mentioned","Birds","Predation of birds","Researchers, Practitioners","Peer-reviewed studies","Surveys","Stakeholder perceptions","Practitioner/policymaker research skills, Practitioner/policymaker personal characteristics","Natural sciences","Multi-country","Not reported","Government/statutory body, NGO/non-profit, Private sector, Academic institution","Management of bird predators","United States","Americas"
"rayyan-153485355","Canada","Not mentioned","Birds","Predation of birds","Researchers, Practitioners","Peer-reviewed studies","Surveys","Stakeholder perceptions","Practitioner/policymaker research skills, Practitioner/policymaker personal characteristics","Natural sciences","Multi-country","Not reported","Government/statutory body, NGO/non-profit, Private sector, Academic institution","Management of bird predators","Canada","Americas"
"rayyan-153485396","Netherlands","Marine","Not mentioned","Marine spatial planning","Researchers, Policymakers","No description provided","Interviews, Focus groups, Documentary analysis","Mixed data","Existence of evidence, Format and language, Uncertainty, Timeliness of evidence, Scientist-actor relationships, Nature of decision, Social, political, and economic context, Practitioner/policmaker attitude towards evidence use","Both natural and social sciences","Multi-unit","National","Government/statutory body, Academic institution","Spatial planning of offshore wind farms","Netherlands","Europe"
"rayyan-153485474","USA","Shrubland","Not mentioned","Restoration","Practitioners","Decision-making tools","Interviews, Workshops","Stakeholder perceptions","Relevance, Rigour, Scientist-actor relationships, Capacity and resources","Natural sciences","Multi-unit","Not reported","Government/statutory body, NGO/non-profit, Private sector, Academic institution","Restoration of Sagebrush ecosystems","United States","Americas"
"rayyan-153485582","Austria","Forest","Not mentioned","Climate change","Researchers, Practitioners, Policymakers","No description provided","Interviews","Stakeholder perceptions","Relevance, Uncertainty, Practitioner/policymaker decision process, Other stakeholder values and beliefs, Practitioner/policymaker-stakeholder relationships","Natural sciences","Multi-country","Local","Government/statutory body, Private sector, Academic institution","Forest conservation and management related to climate change","Austria","Europe"
"rayyan-153485582","Germany","Forest","Not mentioned","Climate change","Researchers, Practitioners, Policymakers","No description provided","Interviews","Stakeholder perceptions","Relevance, Uncertainty, Practitioner/policymaker decision process, Other stakeholder values and beliefs, Practitioner/policymaker-stakeholder relationships","Natural sciences","Multi-country","Local","Government/statutory body, Private sector, Academic institution","Forest conservation and management related to climate change","Germany","Europe"
"rayyan-153485582","France","Forest","Not mentioned","Climate change","Researchers, Practitioners, Policymakers","No description provided","Interviews","Stakeholder perceptions","Relevance, Uncertainty, Practitioner/policymaker decision process, Other stakeholder values and beliefs, Practitioner/policymaker-stakeholder relationships","Natural sciences","Multi-country","Local","Government/statutory body, Private sector, Academic institution","Forest conservation and management related to climate change","France","Europe"
"rayyan-153485582","Netherlands","Forest","Not mentioned","Climate change","Researchers, Practitioners, Policymakers","No description provided","Interviews","Stakeholder perceptions","Relevance, Uncertainty, Practitioner/policymaker decision process, Other stakeholder values and beliefs, Practitioner/policymaker-stakeholder relationships","Natural sciences","Multi-country","Local","Government/statutory body, Private sector, Academic institution","Forest conservation and management related to climate change","Netherlands","Europe"
"rayyan-153485582","Spain","Forest","Not mentioned","Climate change","Researchers, Practitioners, Policymakers","No description provided","Interviews","Stakeholder perceptions","Relevance, Uncertainty, Practitioner/policymaker decision process, Other stakeholder values and beliefs, Practitioner/policymaker-stakeholder relationships","Natural sciences","Multi-country","Local","Government/statutory body, Private sector, Academic institution","Forest conservation and management related to climate change","Spain","Europe"
"rayyan-153485582","UK","Forest","Not mentioned","Climate change","Researchers, Practitioners, Policymakers","No description provided","Interviews","Stakeholder perceptions","Relevance, Uncertainty, Practitioner/policymaker decision process, Other stakeholder values and beliefs, Practitioner/policymaker-stakeholder relationships","Natural sciences","Multi-country","Local","Government/statutory body, Private sector, Academic institution","Forest conservation and management related to climate change","United Kingdom","Europe"
"rayyan-153485667","Canada","Freshwater","Fish","Overexploitation","Practitioners","No description provided","Interviews","Stakeholder perceptions","Relevance, Uncertainty, Capacity and resources","Natural sciences","Multi-unit","Regional","Government/statutory body, NGO/non-profit, Private sector, Recreational fisheries, First nation fisheries","Fishery management","Canada","Americas"
"rayyan-153485748","France","Not mentioned","Birds, Invertebrates","Pest control","Researchers, Practitioners","Peer-reviewed studies","Interviews","Stakeholder perceptions","Uncertainty, Social, political, and economic context, Other stakeholder values and beliefs","Natural sciences","Multi-unit","Local","Government/statutory body, NGO/non-profit, Private sector, Academic institution","Control of mosquitos in a national park","France","Europe"
"rayyan-153485761","USA","Marine, Freshwater","Fish","Not reported","Researchers","No description provided","Surveys, Interviews","Stakeholder perceptions","Format and language, Quantity of information, Relevance, Rigour, Uncertainty, Spatial/temporal scale of evidence, Scientist-actor relationships, Relationships between colleagues, Nature of decision, Social, political, and economic context, Practitioner/policymaker research skills, Practitioner/policymaker decision process, Capacity and resources","Natural sciences","Multi-country","Not reported","Academic institution","","United States","Americas"
"rayyan-153485761","UK","Marine, Freshwater","Fish","Not reported","Researchers","No description provided","Surveys, Interviews","Stakeholder perceptions","Format and language, Quantity of information, Relevance, Rigour, Uncertainty, Spatial/temporal scale of evidence, Scientist-actor relationships, Relationships between colleagues, Nature of decision, Social, political, and economic context, Practitioner/policymaker research skills, Practitioner/policymaker decision process, Capacity and resources","Natural sciences","Multi-country","Not reported","Academic institution","","United Kingdom","Europe"
"rayyan-153485761","Australia","Marine, Freshwater","Fish","Not reported","Researchers","No description provided","Surveys, Interviews","Stakeholder perceptions","Format and language, Quantity of information, Relevance, Rigour, Uncertainty, Spatial/temporal scale of evidence, Scientist-actor relationships, Relationships between colleagues, Nature of decision, Social, political, and economic context, Practitioner/policymaker research skills, Practitioner/policymaker decision process, Capacity and resources","Natural sciences","Multi-country","Not reported","Academic institution","","Australia","Oceania"
"rayyan-153485846","Australia","Marine","Fish","Overexploitation","Practitioners","No description provided","Interviews","Stakeholder perceptions","Scientist-actor relationships, Capacity and resources","Natural sciences","Single","Local","Private sector","","Australia","Oceania"
"rayyan-153485896","Canada","Not mentioned","Not mentioned","Protected area management","Practitioners","Multiple forms","Surveys","Stakeholder perceptions","Existence of evidence, Accessibility of evidence, Time lag, Relevance, Rigour, Uncertainty, Spatial/temporal scale of evidence, Timeliness of evidence, Practitioner/policmaker attitude towards evidence use, Practitioner/policymaker research skills, Capacity and resources, Management","Not mentioned","Multi-region","Local","Government/statutory body","Protected area management","Canada","Americas"
"rayyan-153486006","Mexico","Forest, Marine, Mountain, Coastal, Agricultural ecosystems","Not mentioned","Climate change","Practitioners","Reports, Scientists, Online sources","Surveys","Stakeholder perceptions","Accessibility of evidence, Format and language, Quantity of information, Uncertainty, Spatial/temporal scale of evidence, Social, political, and economic context, Practitioner/policmaker attitude towards evidence use, Capacity and resources, Management","Natural sciences","Multi-country","Not reported","Government/statutory body, NGO/non-profit, Private sector","","Mexico","Americas"
"rayyan-153486006","Colombia","Forest, Marine, Mountain, Coastal, Agricultural ecosystems","Not mentioned","Climate change","Practitioners","Reports, Scientists, Online sources","Surveys","Stakeholder perceptions","Accessibility of evidence, Format and language, Quantity of information, Uncertainty, Spatial/temporal scale of evidence, Social, political, and economic context, Practitioner/policmaker attitude towards evidence use, Capacity and resources, Management","Natural sciences","Multi-country","Not reported","Government/statutory body, NGO/non-profit, Private sector","","Colombia","Americas"
"rayyan-153486006","Paraguay","Forest, Marine, Mountain, Coastal, Agricultural ecosystems","Not mentioned","Climate change","Practitioners","Reports, Scientists, Online sources","Surveys","Stakeholder perceptions","Accessibility of evidence, Format and language, Quantity of information, Uncertainty, Spatial/temporal scale of evidence, Social, political, and economic context, Practitioner/policmaker attitude towards evidence use, Capacity and resources, Management","Natural sciences","Multi-country","Not reported","Government/statutory body, NGO/non-profit, Private sector","","Paraguay","Americas"
"rayyan-153486006","Tajikistan","Forest, Marine, Mountain, Coastal, Agricultural ecosystems","Not mentioned","Climate change","Practitioners","Reports, Scientists, Online sources","Surveys","Stakeholder perceptions","Accessibility of evidence, Format and language, Quantity of information, Uncertainty, Spatial/temporal scale of evidence, Social, political, and economic context, Practitioner/policmaker attitude towards evidence use, Capacity and resources, Management","Natural sciences","Multi-country","Not reported","Government/statutory body, NGO/non-profit, Private sector","","Tajikistan","Asia"
"rayyan-153486006","Kyrgyzstan","Forest, Marine, Mountain, Coastal, Agricultural ecosystems","Not mentioned","Climate change","Practitioners","Reports, Scientists, Online sources","Surveys","Stakeholder perceptions","Accessibility of evidence, Format and language, Quantity of information, Uncertainty, Spatial/temporal scale of evidence, Social, political, and economic context, Practitioner/policmaker attitude towards evidence use, Capacity and resources, Management","Natural sciences","Multi-country","Not reported","Government/statutory body, NGO/non-profit, Private sector","","Kyrgyzstan","Asia"
"rayyan-153486006","Kazakhstan","Forest, Marine, Mountain, Coastal, Agricultural ecosystems","Not mentioned","Climate change","Practitioners","Reports, Scientists, Online sources","Surveys","Stakeholder perceptions","Accessibility of evidence, Format and language, Quantity of information, Uncertainty, Spatial/temporal scale of evidence, Social, political, and economic context, Practitioner/policmaker attitude towards evidence use, Capacity and resources, Management","Natural sciences","Multi-country","Not reported","Government/statutory body, NGO/non-profit, Private sector","","Kazakhstan","Asia"
"rayyan-153486006","Mongolia","Forest, Marine, Mountain, Coastal, Agricultural ecosystems","Not mentioned","Climate change","Practitioners","Reports, Scientists, Online sources","Surveys","Stakeholder perceptions","Accessibility of evidence, Format and language, Quantity of information, Uncertainty, Spatial/temporal scale of evidence, Social, political, and economic context, Practitioner/policmaker attitude towards evidence use, Capacity and resources, Management","Natural sciences","Multi-country","Not reported","Government/statutory body, NGO/non-profit, Private sector","","Mongolia","Asia"
"rayyan-153486006","China","Forest, Marine, Mountain, Coastal, Agricultural ecosystems","Not mentioned","Climate change","Practitioners","Reports, Scientists, Online sources","Surveys","Stakeholder perceptions","Accessibility of evidence, Format and language, Quantity of information, Uncertainty, Spatial/temporal scale of evidence, Social, political, and economic context, Practitioner/policmaker attitude towards evidence use, Capacity and resources, Management","Natural sciences","Multi-country","Not reported","Government/statutory body, NGO/non-profit, Private sector","","China","Asia"
"rayyan-153486006","Bhutan","Forest, Marine, Mountain, Coastal, Agricultural ecosystems","Not mentioned","Climate change","Practitioners","Reports, Scientists, Online sources","Surveys","Stakeholder perceptions","Accessibility of evidence, Format and language, Quantity of information, Uncertainty, Spatial/temporal scale of evidence, Social, political, and economic context, Practitioner/policmaker attitude towards evidence use, Capacity and resources, Management","Natural sciences","Multi-country","Not reported","Government/statutory body, NGO/non-profit, Private sector","","Bhutan","Asia"
"rayyan-153486006","Nepal","Forest, Marine, Mountain, Coastal, Agricultural ecosystems","Not mentioned","Climate change","Practitioners","Reports, Scientists, Online sources","Surveys","Stakeholder perceptions","Accessibility of evidence, Format and language, Quantity of information, Uncertainty, Spatial/temporal scale of evidence, Social, political, and economic context, Practitioner/policmaker attitude towards evidence use, Capacity and resources, Management","Natural sciences","Multi-country","Not reported","Government/statutory body, NGO/non-profit, Private sector","","Nepal","Asia"
"rayyan-153486006","Myanmar","Forest, Marine, Mountain, Coastal, Agricultural ecosystems","Not mentioned","Climate change","Practitioners","Reports, Scientists, Online sources","Surveys","Stakeholder perceptions","Accessibility of evidence, Format and language, Quantity of information, Uncertainty, Spatial/temporal scale of evidence, Social, political, and economic context, Practitioner/policmaker attitude towards evidence use, Capacity and resources, Management","Natural sciences","Multi-country","Not reported","Government/statutory body, NGO/non-profit, Private sector","","Myanmar","Asia"
"rayyan-153486034","New Zealand","Marine","Not mentioned","Not reported","Practitioners","No description provided","Interviews, Documentary analysis","Mixed data","Accessibility of evidence, Rigour, Scientist-actor relationships, Social, political, and economic context, Practitioner/policymaker research skills, Capacity and resources, Other stakeholder values and beliefs","Not mentioned","Multi-region","Regional","Government/statutory body","","New Zealand","Oceania"
"rayyan-153486042","Australia","Marine","Not mentioned","Protected area management","Researchers, Practitioners","Research program","Interviews","Stakeholder perceptions","Accessibility of evidence, Time lag, Relevance, Timeliness of evidence, Scientist-actor relationships, Academic demands on researchers, Capacity and resources","Not mentioned","Multi-unit","Regional","Government/statutory body, Academic institution","Management of marine protected area","Australia","Oceania"
"rayyan-153486347","Canada","Marine","Fish","Overexploitation","Researchers, Practitioners","Peer-reviewed studies","Documentary analysis","Document-based data","Time lag, Timeliness of evidence","Natural sciences","Single","National","Intergovernmental organisation","Fisheries management","Canada","Americas"
"rayyan-153486356","USA","Not mentioned","Plants","Invasive species","Practitioners","Multiple types","Surveys","Stakeholder perceptions","Relevance","Natural sciences","Multi-unit","Regional","Government/statutory body, NGO/non-profit, Private sector, Academic institution","Invasive plant management","United States","Americas"
"rayyan-153486395","Antarctica","Marine","Fish","Overexploitation","Policymakers","No description provided","Documentary analysis","Document-based data","Relationships between colleagues, Social, political, and economic context","Natural sciences","Multi-unit","International","Intergovernmental organisation","","Antarctica","Antarctica"
"rayyan-153486398","Belize","Marine","Fish","Overexploitation","Researchers, Practitioners, Policymakers","No description provided","Interviews","Stakeholder perceptions","Source of evidence, Scientist-actor relationships, Relationships between colleagues, Social, political, and economic context, Capacity and resources","Not mentioned","Multi-unit","National","Government/statutory body, NGO/non-profit, Academic institution","Fisheries management","Belize","Americas"
"rayyan-153486448","UK","Marine","Not mentioned","Not reported","Practitioners, Policymakers","No description provided","Interviews","Stakeholder perceptions","Uncertainty, Spatial/temporal scale of evidence, Timeliness of evidence, Practitioner/policmaker attitude towards evidence use, Other stakeholder values and beliefs","Not mentioned","Multi-unit","National","Government/statutory body, NGO/non-profit, Community/local organisation, Private sector, Academic institution","Marine protected area planning","United Kingdom","Europe"
"rayyan-153486476","Australia","Not mentioned","Not mentioned","Protected area management","Practitioners","No description provided","Surveys, Interviews, Workshops","Stakeholder perceptions","Existence of evidence, Accessibility of evidence, Quantity of information, Relevance, Rigour, Uncertainty, Nature of decision, Social, political, and economic context, Practitioner/policmaker attitude towards evidence use, Practitioner/policymaker research skills, Practitioner/policymaker decision process, Capacity and resources, Other stakeholder values and beliefs","Not mentioned","Multi-country","National","Government/statutory body, NGO/non-profit","Protected area management","Australia","Oceania"
"rayyan-153486476","New Zealand","Not mentioned","Not mentioned","Protected area management","Practitioners","No description provided","Surveys, Interviews, Workshops","Stakeholder perceptions","Existence of evidence, Accessibility of evidence, Quantity of information, Relevance, Rigour, Uncertainty, Nature of decision, Social, political, and economic context, Practitioner/policmaker attitude towards evidence use, Practitioner/policymaker research skills, Practitioner/policymaker decision process, Capacity and resources, Other stakeholder values and beliefs","Not mentioned","Multi-country","National","Government/statutory body, NGO/non-profit","Protected area management","New Zealand","Oceania"
"rayyan-153486487","Germany","Forest","Not mentioned","Forest managment","Researchers, Practitioners","Evidence-based guidance","Interviews","Stakeholder perceptions","Format and language, Quantity of information, Relevance, Uncertainty, Scientist-actor relationships, Nature of decision, Social, political, and economic context, Practitioner/policmaker attitude towards evidence use, Practitioner/policymaker decision process","Natural sciences","Multi-country","Not reported","Government/statutory body, Private sector, Academic institution","Forest management","Germany","Europe"
"rayyan-153486487","Switzerland","Forest","Not mentioned","Forest managment","Researchers, Practitioners","Evidence-based guidance","Interviews","Stakeholder perceptions","Format and language, Quantity of information, Relevance, Uncertainty, Scientist-actor relationships, Nature of decision, Social, political, and economic context, Practitioner/policmaker attitude towards evidence use, Practitioner/policymaker decision process","Natural sciences","Multi-country","Not reported","Government/statutory body, Private sector, Academic institution","Forest management","Switzerland","Europe"
"rayyan-153486487","Poland","Forest","Not mentioned","Forest managment","Researchers, Practitioners","Evidence-based guidance","Interviews","Stakeholder perceptions","Format and language, Quantity of information, Relevance, Uncertainty, Scientist-actor relationships, Nature of decision, Social, political, and economic context, Practitioner/policmaker attitude towards evidence use, Practitioner/policymaker decision process","Natural sciences","Multi-country","Not reported","Government/statutory body, Private sector, Academic institution","Forest management","Poland","Europe"
"rayyan-153486507","USA","Freshwater","Fish","Climate change","Practitioners, Policymakers","Multiple types: Data, publications","Surveys, Focus groups","Stakeholder perceptions","Accessibility of evidence, Format and language, Quantity of information","Natural sciences","Multi-country","International","Government/statutory body, Community/local organisation, Private sector","Climate change impacts on fisheries","United States","Americas"
"rayyan-153486507","Canada","Freshwater","Fish","Climate change","Practitioners, Policymakers","Multiple types: Data, publications","Surveys, Focus groups","Stakeholder perceptions","Accessibility of evidence, Format and language, Quantity of information","Natural sciences","Multi-country","International","Government/statutory body, Community/local organisation, Private sector","Climate change impacts on fisheries","Canada","Americas"
"rayyan-153486508","Netherlands","Marine","Not mentioned","Protected area designation","Researchers, Policymakers","No description provided","Interviews, Documentary analysis","Mixed data","Existence of evidence, Rigour, Source of evidence, Scientist-actor relationships, Social, political, and economic context","Not mentioned","Multi-region","National","Government/statutory body, Academic institution","Marine protected area designation","Netherlands","Europe"
"rayyan-153486558","Australia","Marine","Not mentioned","Protected areas management","Practitioners","Peer-reviewed studies","Documentary analysis","Document-based data","Format and language","Not mentioned","Multi-country","Not reported","Government/statutory body","Marie protected area management","Australia","Oceania"
"rayyan-153486558","Kenya","Marine","Not mentioned","Protected areas management","Practitioners","Peer-reviewed studies","Documentary analysis","Document-based data","Format and language","Not mentioned","Multi-country","Not reported","Government/statutory body","Marie protected area management","Kenya","Africa"
"rayyan-153486558","Belize","Marine","Not mentioned","Protected areas management","Practitioners","Peer-reviewed studies","Documentary analysis","Document-based data","Format and language","Not mentioned","Multi-country","Not reported","Government/statutory body","Marie protected area management","Belize","Americas"
"rayyan-153486571","Fiji","Marine","Not mentioned","Not reported","Practitioners","No description provided","Interviews","Stakeholder perceptions","Language barrier, Uncertainty, Practitioner/policymaker-stakeholder relationships","Not mentioned","Multi-country","Not reported","Government/statutory body, NGO/non-profit, Intergovernmental organisation","","Fiji","Oceania"
"rayyan-153486571","Kiribati","Marine","Not mentioned","Not reported","Practitioners","No description provided","Interviews","Stakeholder perceptions","Language barrier, Uncertainty, Practitioner/policymaker-stakeholder relationships","Not mentioned","Multi-country","Not reported","Government/statutory body, NGO/non-profit, Intergovernmental organisation","","Kiribati","Oceania"
"rayyan-153486571","Marshall Islands","Marine","Not mentioned","Not reported","Practitioners","No description provided","Interviews","Stakeholder perceptions","Language barrier, Uncertainty, Practitioner/policymaker-stakeholder relationships","Not mentioned","Multi-country","Not reported","Government/statutory body, NGO/non-profit, Intergovernmental organisation","","Marshall Islands","Oceania"
"rayyan-153486571","Micronesia (Federated States of)","Marine","Not mentioned","Not reported","Practitioners","No description provided","Interviews","Stakeholder perceptions","Language barrier, Uncertainty, Practitioner/policymaker-stakeholder relationships","Not mentioned","Multi-country","Not reported","Government/statutory body, NGO/non-profit, Intergovernmental organisation","","Micronesia (Federated States of)","Oceania"
"rayyan-153486571","Nauru","Marine","Not mentioned","Not reported","Practitioners","No description provided","Interviews","Stakeholder perceptions","Language barrier, Uncertainty, Practitioner/policymaker-stakeholder relationships","Not mentioned","Multi-country","Not reported","Government/statutory body, NGO/non-profit, Intergovernmental organisation","","Nauru","Oceania"
"rayyan-153486571","Palau","Marine","Not mentioned","Not reported","Practitioners","No description provided","Interviews","Stakeholder perceptions","Language barrier, Uncertainty, Practitioner/policymaker-stakeholder relationships","Not mentioned","Multi-country","Not reported","Government/statutory body, NGO/non-profit, Intergovernmental organisation","","Palau","Oceania"
"rayyan-153486571","Papua New Guinea","Marine","Not mentioned","Not reported","Practitioners","No description provided","Interviews","Stakeholder perceptions","Language barrier, Uncertainty, Practitioner/policymaker-stakeholder relationships","Not mentioned","Multi-country","Not reported","Government/statutory body, NGO/non-profit, Intergovernmental organisation","","Papua New Guinea","Oceania"
"rayyan-153486571","Samoa","Marine","Not mentioned","Not reported","Practitioners","No description provided","Interviews","Stakeholder perceptions","Language barrier, Uncertainty, Practitioner/policymaker-stakeholder relationships","Not mentioned","Multi-country","Not reported","Government/statutory body, NGO/non-profit, Intergovernmental organisation","","Samoa","Oceania"
"rayyan-153486571","Solomon Islands","Marine","Not mentioned","Not reported","Practitioners","No description provided","Interviews","Stakeholder perceptions","Language barrier, Uncertainty, Practitioner/policymaker-stakeholder relationships","Not mentioned","Multi-country","Not reported","Government/statutory body, NGO/non-profit, Intergovernmental organisation","","Solomon Islands","Oceania"
"rayyan-153486571","Timor-Leste","Marine","Not mentioned","Not reported","Practitioners","No description provided","Interviews","Stakeholder perceptions","Language barrier, Uncertainty, Practitioner/policymaker-stakeholder relationships","Not mentioned","Multi-country","Not reported","Government/statutory body, NGO/non-profit, Intergovernmental organisation","","Timor-Leste","Asia"
"rayyan-153486571","Tonga","Marine","Not mentioned","Not reported","Practitioners","No description provided","Interviews","Stakeholder perceptions","Language barrier, Uncertainty, Practitioner/policymaker-stakeholder relationships","Not mentioned","Multi-country","Not reported","Government/statutory body, NGO/non-profit, Intergovernmental organisation","","Tonga","Oceania"
"rayyan-153486571","Tuvalu","Marine","Not mentioned","Not reported","Practitioners","No description provided","Interviews","Stakeholder perceptions","Language barrier, Uncertainty, Practitioner/policymaker-stakeholder relationships","Not mentioned","Multi-country","Not reported","Government/statutory body, NGO/non-profit, Intergovernmental organisation","","Tuvalu","Oceania"
"rayyan-153486571","Vanuatu","Marine","Not mentioned","Not reported","Practitioners","No description provided","Interviews","Stakeholder perceptions","Language barrier, Uncertainty, Practitioner/policymaker-stakeholder relationships","Not mentioned","Multi-country","Not reported","Government/statutory body, NGO/non-profit, Intergovernmental organisation","","Vanuatu","Oceania"
"rayyan-153486591","UK","Marine","Not mentioned","Protected area designation","Researchers, Practitioners","No description provided","Interviews, Documentary analysis","Mixed data","Existence of evidence, Rigour, Uncertainty, Scientist-actor relationships, Social, political, and economic context, Practitioner/policmaker attitude towards evidence use, Other stakeholder values and beliefs, Practitioner/policymaker-stakeholder relationships","Not mentioned","Single","National","Government/statutory body, NGO/non-profit, Academic institution","Marine protected area designation in the UK","United Kingdom","Europe"
"rayyan-153486598","Canada","Not mentioned","Not mentioned","Protected area management","Practitioners","Peer-reviewed studies","Surveys","Stakeholder perceptions","Existence of evidence, Accessibility of evidence, Relevance, Rigour, Uncertainty, Spatial/temporal scale of evidence, Inconclusive, Scientist-actor relationships, Practitioner/policymaker research skills, Practitioner/policymaker personal characteristics, Practitioner/policymaker decision process, Capacity and resources","Not mentioned","Multi-unit","Regional","Government/statutory body, NGO/non-profit","Protected area management effectiveness","Canada","Americas"
"rayyan-153486600","Switzerland","Forest","Not mentioned","Forest managment","Practitioners","Multiple sources","Surveys","Stakeholder perceptions","Accessibility of evidence, Format and language, Language barrier, Practitioner/policymaker personal characteristics, Capacity and resources","Not mentioned","Multi-region","Not reported","Government/statutory body, NGO/non-profit","Forest management","Switzerland","Europe"
"rayyan-153486656","UK","Not mentioned","Not mentioned","Not reported","Practitioners","No description provided","Interviews","Stakeholder perceptions","Existence of evidence, Relevance, Nature of decision, Capacity and resources","Not mentioned","Multi-country","National","Private sector","Business impact mitigation","United Kingdom","Europe"
"rayyan-153486656","France","Not mentioned","Not mentioned","Not reported","Practitioners","No description provided","Interviews","Stakeholder perceptions","Existence of evidence, Relevance, Nature of decision, Capacity and resources","Not mentioned","Multi-country","National","Private sector","Business impact mitigation","France","Europe"
"rayyan-153486656","Switzerland","Not mentioned","Not mentioned","Not reported","Practitioners","No description provided","Interviews","Stakeholder perceptions","Existence of evidence, Relevance, Nature of decision, Capacity and resources","Not mentioned","Multi-country","National","Private sector","Business impact mitigation","Switzerland","Europe"
"rayyan-153486656","Netherlands","Not mentioned","Not mentioned","Not reported","Practitioners","No description provided","Interviews","Stakeholder perceptions","Existence of evidence, Relevance, Nature of decision, Capacity and resources","Not mentioned","Multi-country","National","Private sector","Business impact mitigation","Netherlands","Europe"
"rayyan-153486656","Romania","Not mentioned","Not mentioned","Not reported","Practitioners","No description provided","Interviews","Stakeholder perceptions","Existence of evidence, Relevance, Nature of decision, Capacity and resources","Not mentioned","Multi-country","National","Private sector","Business impact mitigation","Romania","Europe"
"rayyan-153486656","Brazil","Not mentioned","Not mentioned","Not reported","Practitioners","No description provided","Interviews","Stakeholder perceptions","Existence of evidence, Relevance, Nature of decision, Capacity and resources","Not mentioned","Multi-country","National","Private sector","Business impact mitigation","Brazil","Americas"
"rayyan-153486656","Kenya","Not mentioned","Not mentioned","Not reported","Practitioners","No description provided","Interviews","Stakeholder perceptions","Existence of evidence, Relevance, Nature of decision, Capacity and resources","Not mentioned","Multi-country","National","Private sector","Business impact mitigation","Kenya","Africa"
"rayyan-153486656","Tanzania","Not mentioned","Not mentioned","Not reported","Practitioners","No description provided","Interviews","Stakeholder perceptions","Existence of evidence, Relevance, Nature of decision, Capacity and resources","Not mentioned","Multi-country","National","Private sector","Business impact mitigation","Tanzania","Africa"
"rayyan-153486656","Mali","Not mentioned","Not mentioned","Not reported","Practitioners","No description provided","Interviews","Stakeholder perceptions","Existence of evidence, Relevance, Nature of decision, Capacity and resources","Not mentioned","Multi-country","National","Private sector","Business impact mitigation","Mali","Africa"
